AGE_CAT,HI_CAT,HS_CAT,RACE_CAT,SEX_CAT,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
2,2,2,2,2,0.27286,0.35924,0.02274,0.19181,0.0277,0.01818,0.06248,0.045,.,.,0.27286,0.63209,0.65483,0.84664,0.87434,0.89252,0.955,1,.,.
2,2,2,3,1,0.59541,0.23934,0.02579,0.03152,0.01408,0.00531,0.05834,0.03022,.,.,0.59541,0.83475,0.86053,0.89206,0.90613,0.91144,0.96978,1,.,.
2,2,2,3,2,0.47094,0.3162,0.02681,0.07545,0.01563,0.00785,0.05561,0.03151,.,.,0.47094,0.78714,0.81394,0.8894,0.90502,0.91288,0.96849,1,.,.
2,2,3,1,1,0.60044,0.17872,0.03465,0.09523,0.00753,0.03818,0.01758,0.02767,.,.,0.60044,0.77916,0.81381,0.90904,0.91657,0.95475,0.97233,1,.,.
2,2,3,1,2,0.43752,0.21752,0.03318,0.21,0.0077,0.05206,0.01544,0.02658,.,.,0.43752,0.65503,0.68822,0.89822,0.90592,0.95799,0.97342,1,.,.
2,2,3,2,1,0.42567,0.22792,0.02,0.16094,0.01801,0.04285,0.05636,0.04825,.,.,0.42567,0.65359,0.67359,0.83453,0.85254,0.89539,0.95175,1,.,.
2,2,3,2,2,0.27344,0.24455,0.01689,0.31288,0.01624,0.05151,0.04363,0.04085,.,.,0.27344,0.51799,0.53488,0.84776,0.864,0.91551,0.95915,1,.,.
2,2,3,3,1,0.71106,0.18691,0.01779,0.05854,0,0.00889,0.01681,0,.,.,0.71106,0.89797,0.91576,0.9743,0.9743,0.98319,1,1,.,.
2,2,3,3,2,0.56402,0.24764,0.01855,0.14053,0,0.01319,0.01607,0,.,.,0.56402,0.81166,0.83021,0.97074,0.97074,0.98393,1,1,.,.
2,3,1,1,1,0.09539,0.71308,0.08586,0.00104,0.00046,0.00033,0.05167,0.05217,.,.,0.09539,0.80847,0.89434,0.89538,0.89584,0.89617,0.94783,1,.,.
2,3,1,1,2,0.06215,0.77607,0.07353,0.00205,0.00042,0.0004,0.04057,0.0448,.,.,0.06215,0.83822,0.91175,0.9138,0.91423,0.91463,0.9552,1,.,.
2,3,1,2,1,0.19839,0.64822,0.05517,0.00485,0.00131,0.00132,0.0378,0.05293,.,.,0.19839,0.84662,0.90178,0.90663,0.90794,0.90927,0.94707,1,.,.
2,3,1,2,2,0.13333,0.72767,0.04873,0.00986,0.00124,0.00166,0.03062,0.04689,.,.,0.13333,0.861,0.90973,0.91959,0.92083,0.92249,0.95311,1,.,.
2,3,1,3,1,0.12053,0.72625,0.0393,0.00181,0.00069,0.00118,0.0536,0.05664,.,.,0.12053,0.84677,0.88608,0.88789,0.88857,0.88976,0.94336,1,.,.
2,3,1,3,2,0.07861,0.79122,0.03369,0.00357,0.00063,0.00145,0.04214,0.04869,.,.,0.07861,0.86983,0.90353,0.9071,0.90772,0.90917,0.95131,1,.,.
2,3,2,1,1,0.15184,0.62669,0.0788,0.01476,0.00683,0.01002,0.058,0.05306,.,.,0.15184,0.77853,0.85733,0.87209,0.87892,0.88894,0.94694,1,.,.
2,3,2,1,2,0.10022,0.69093,0.06836,0.02948,0.00633,0.01237,0.04614,0.04616,.,.,0.10022,0.79115,0.85951,0.88899,0.89532,0.9077,0.95384,1,.,.
2,3,2,2,1,0.2381,0.55744,0.04527,0.03349,0.00997,0.01728,0.04802,0.05042,.,.,0.2381,0.79553,0.84081,0.8743,0.88427,0.90155,0.94958,1,.,.
2,3,2,2,2,0.15865,0.62043,0.03965,0.06755,0.00932,0.02155,0.03857,0.04428,.,.,0.15865,0.77908,0.81873,0.88627,0.8956,0.91715,0.95572,1,.,.
2,3,2,3,1,0.28902,0.53391,0.05789,0.00848,0.0082,0.0059,0.06007,0.03654,.,.,0.28902,0.82293,0.88081,0.88929,0.89749,0.90339,0.96346,1,.,.
2,3,2,3,2,0.20273,0.62553,0.05337,0.01799,0.00807,0.00774,0.05078,0.03379,.,.,0.20273,0.82826,0.88162,0.89962,0.90769,0.91543,0.96621,1,.,.
2,3,3,1,1,0.44784,0.37083,0.05154,0.0619,0.01224,0.00676,0.02122,0.02767,.,.,0.44784,0.81867,0.87021,0.93211,0.94435,0.95111,0.97233,1,.,.
2,3,3,1,2,0.31667,0.438,0.0479,0.13246,0.01215,0.00894,0.01809,0.02579,.,.,0.31667,0.75467,0.80257,0.93504,0.94718,0.95612,0.97421,1,.,.
2,3,3,2,1,0.41082,0.34503,0.02881,0.10359,0.01775,0.01168,0.05109,0.03123,.,.,0.41082,0.75585,0.78466,0.88825,0.906,0.91768,0.96877,1,.,.
2,3,3,2,2,0.27609,0.38731,0.02545,0.21068,0.01674,0.01469,0.04138,0.02767,.,.,0.27609,0.66339,0.68884,0.89952,0.91626,0.93096,0.97233,1,.,.
2,3,3,3,1,0.55739,0.35558,0.0321,0.02799,0,0.00221,0.02473,0,.,.,0.55739,0.91297,0.94507,0.97306,0.97306,0.97527,1,1,.,.
2,3,3,3,2,0.42478,0.45264,0.03215,0.06457,0,0.00315,0.02271,0,.,.,0.42478,0.87742,0.90957,0.97414,0.97414,0.97729,1,1,.,.
3,1,1,1,1,0.53957,0.15954,0.06854,0.08494,0.03371,0.06183,0.0066,0.00903,0.020159,0.01606,0.53957,0.69912,0.76766,0.8526,0.88631,0.94814,0.95474,0.96378,0.98394,1
3,1,1,1,2,0.4375,0.20355,0.07758,0.13633,0.02578,0.06611,0.01311,0.00724,0.017921,0.01487,0.4375,0.64105,0.71864,0.85497,0.88075,0.94686,0.95997,0.96721,0.98513,1
3,1,1,2,1,0.4915,0.19407,0.03564,0.13208,0.00905,0.04684,0.00218,0.03532,0.019486,0.03384,0.4915,0.68557,0.72121,0.85329,0.86234,0.90918,0.91136,0.94668,0.96616,1
3,1,1,2,2,0.3844,0.23883,0.03891,0.20448,0.00668,0.04832,0.00417,0.02729,0.016709,0.03021,0.3844,0.62323,0.66214,0.86662,0.8733,0.92162,0.92579,0.95308,0.96979,1
