sex,ageCat,raceCat,HISP,householdIncomeCat_NEW,MARRIED,increase
2,2,2,0,5,0,0.338848647
2,2,2,0,5,1,0.327761157
2,2,2,1,1,0,0.32637978
2,2,2,1,1,1,0.300991745
2,2,2,1,2,0,0.352807177
2,2,2,1,2,1,0.326719642
2,2,2,1,3,0,0.420327264
2,2,2,1,3,1,0.397108477
2,2,2,1,4,0,0.22870406
2,2,2,1,4,1,0.219663753
2,2,2,1,5,0,0.357572335
2,2,2,1,5,1,0.348124598
2,2,3,0,1,0,0.494043736
2,2,3,0,1,1,0.472078368
2,2,3,0,2,0,0.597879929
2,2,3,0,2,1,0.582925664
2,2,3,0,3,0,0.51837341
2,2,3,0,3,1,0.500698436
2,2,3,0,4,0,0.252361455
2,2,3,0,4,1,0.245243898
2,2,3,0,5,0,0.41277003
2,2,3,0,5,1,0.409937888
2,2,3,1,1,0,0.32637978
2,2,3,1,1,1,0.300991745
2,2,3,1,2,0,0.352807177
2,2,3,1,2,1,0.326719642
2,2,3,1,3,0,0.420327264
2,2,3,1,3,1,0.397108477
2,2,3,1,4,0,0.22870406
2,2,3,1,4,1,0.219663753
2,2,3,1,5,0,0.357572335
2,2,3,1,5,1,0.348124598
2,3,1,0,1,0,0.523218111
2,3,1,0,1,1,0.509953331
2,3,1,0,2,0,0.50914368
2,3,1,0,2,1,0.492955297
2,3,1,0,3,0,0.535429223
2,3,1,0,3,1,0.528279124
2,3,1,0,4,0,0.111866759
2,3,1,0,4,1,0.108549234
2,3,1,0,5,0,0.27882374
2,3,1,0,5,1,0.276987971
2,3,1,1,1,0,0.363579826
2,3,1,1,1,1,0.340962782
2,3,1,1,2,0,0.33688084
2,3,1,1,2,1,0.313359857
2,3,1,1,3,0,0.463195742
2,3,1,1,3,1,0.448327015
2,3,1,1,4,0,0.10690978
2,3,1,1,4,1,0.102914059
2,3,1,1,5,0,0.256473882
2,3,1,1,5,1,0.251830161
2,3,2,0,1,0,0.229255157
2,3,2,0,1,1,0.208394429
2,3,2,0,2,0,0.469620465
2,3,2,0,2,1,0.450452176
2,3,2,0,3,0,0.585507218
2,3,2,0,3,1,0.585507199
2,3,2,0,4,0,0.07137256
2,3,2,0,4,1,0.06628592
2,3,2,0,5,0,0.270006236
2,3,2,0,5,1,0.267085839
2,3,2,1,1,0,0.363579826
2,3,2,1,1,1,0.340962782
2,3,2,1,2,0,0.33688084
2,3,2,1,2,1,0.313359857
2,3,2,1,3,0,0.463195742
2,3,2,1,3,1,0.448327015
2,3,2,1,4,0,0.10690978
2,3,2,1,4,1,0.102914059
2,3,2,1,5,0,0.256473882
2,3,2,1,5,1,0.251830161
2,3,3,0,1,0,0.43470711
2,3,3,0,1,1,0.41463972
2,3,3,0,2,0,0.499159852
2,3,3,0,2,1,0.482182469
2,3,3,0,3,0,0.481302282
2,3,3,0,3,1,0.468156247
2,3,3,0,4,0,0.105011313
2,3,3,0,4,1,0.101179308
2,3,3,0,5,0,0.277044025
2,3,3,0,5,1,0.275034294
2,3,3,1,1,0,0.363579826
2,3,3,1,1,1,0.340962782
2,3,3,1,2,0,0.33688084
2,3,3,1,2,1,0.313359857
2,3,3,1,3,0,0.463195742
2,3,3,1,3,1,0.448327015
2,3,3,1,4,0,0.10690978
2,3,3,1,4,1,0.102914059
2,3,3,1,5,0,0.256473882
2,3,3,1,5,1,0.251830161
2,4,1,0,1,0,0.692915896
2,4,1,0,1,1,0.682522252
2,4,1,0,2,0,0.659163409
2,4,1,0,2,1,0.643735205
2,4,1,0,3,0,0.629459459
2,4,1,0,3,1,0.614814815
2,4,1,0,4,0,0.417373519
2,4,1,0,4,1,0.411090376
2,4,1,0,5,0,0.543182653
2,4,1,0,5,1,0.541133163
2,4,1,1,1,0,0.571823304
2,4,1,1,1,1,0.549830553
2,4,1,1,2,0,0.504822121
2,4,1,1,2,1,0.478309248
2,4,1,1,3,0,0.515660311
